Title,Description,Date,Time,Location,Event Type,Audience,Registration URL,Speaker Name,Speaker Title,Contact Name,Contact Email,Food,Prize,Short Blurb
"Quad Generator Mixer","The opening generator mixer aims to bring the larger student community together in a less formal manner. We will be hosting a dj set with games, food, music and good vibes to encourage people to meet the generator community, and open a door for the freshman to get involved and get to know the generator team.","2025-08-29","1:00 PM - 3:00 PM","Freshman Quad","Major Event","Freshman;New Students","","","","Reece","generator@babson.edu","Food and refreshments","Raffle for Meta Glasses and JBL speakers","Opening mixer with DJ, games, and community vibes"
"Org Fair","Babson's club and org fair for all students, with a focus on showing off the generator's capability and reach across campus. Large focus on new incoming students and Babson freshman.","2025-09-05","11:00 AM - 1:00 PM","LGRAC","External Event","Freshman;New Students","","","","Diana","generator@babson.edu","","","Showcase Generator's capabilities at Babson's org fair"
"Using Generative AI Video for Marketing (w/ BMS + AIC)","Video has become the backbone of modern marketing—and with generative AI, creating high-quality, tailored content is faster and smarter than ever. Join The Generator, Babson Marketing Society, and AI Club for a hands-on event exploring how AI is transforming marketing workflows. We'll dive into the newest platforms and techniques shaping the field: Opus, Arcads, and n8n Automations.","2025-09-10","6:00 PM - 8:00 PM","Park Manor West","Workshop","Babson Students","","","","Alex","generator@babson.edu","Light refreshments","Arcads and N8N subscriptions","Hands-on AI video marketing workshop"
"Foundations of AI / Are you smarter than an AI?","Large scale event where it is a edutainment style, both informative and game show like energy. Go over a quick intro of foundations of AI and then have a kahoot style quiz where people competes for prizes.","2025-09-15","6:00 PM - 8:00 PM","Weissman Foundry","Regular Event","Babson Students;Freshman","","","","Spencer","generator@babson.edu","Food provided","2 Gen 2 RingConn smart rings","Game show style AI education event"
"Generator Cafe","Join us for Generator Cafe, a weekly collaborative workspace where student builders, tech enthusiasts, and aspiring entrepreneurs come together to create, share, and innovate! Whether you're actively building or just curious about getting started, this is your opportunity to connect with like-minded creators.","2025-09-13","10:00 AM - 12:00 PM","Weissman Foundry","Weekly Event","Babson Students;Greater Boston","","","","Generator Team","generator@babson.edu","Coffee and light snacks","","Weekly collaborative workspace for builders"
"Elevating your business w/AI (E-Tower)","Join The Generator and E-Tower for an interactive workshop designed to transform your business through AI integration. Learn practical strategies to leverage AI tools across your business operations, from enhancing customer service with chatbots to optimizing marketing and streamlining product design.","2025-10-01","6:00 PM - 8:00 PM","Weissman Foundry","Major Event","Babson Students","","","","Cole","generator@babson.edu","Food provided","AI tool subscriptions","Transform your business with AI tools"
"AI to Cheat (2 truths + a lie)","Not all AI tools are created equal. Some drive productivity, some fuel creativity—and some cross the line. In this interactive event, The Generator challenges Babson students to think critically about what happens when innovation drifts into academic dishonesty.","2025-10-06","6:00 PM - 8:00 PM","Weissman Foundry","Regular Event","Babson Students","","","","Cole","generator@babson.edu","","","Critical thinking about AI ethics"
"AI Matchmaking Event (collab w/POW)","Looking to spark new connections at Babson? The Generator, in collaboration with POW, invites you to an evening of AI-powered matchmaking with a twist. This event pairs you with peers based on real compatibility scores using our custom-built matchmaking webapp.","2025-10-17","TBD","Winn Auditorium","Regular Event","Babson Students","","","","Diana","generator@babson.edu","","","AI-powered social matchmaking event"
"MVP Coding Tools Workshop (w/CODE)","The AI Coding Tools Workshop, in collaboration with CODE, will be a student-led event focused on exploring AI-driven software development tools, specifically highlighting platforms such as Cursor, lovable, Replit Agent, and more. Learn how to build ready MVPs with AI-powered code generation.","2025-10-20","6:00 PM - 8:00 PM","Park Manor West","Major Event","Babson Students;Greater Boston","","","","Spencer","generator@babson.edu","Food provided","3-month tool subscriptions","Build MVPs with AI coding tools"
"G1000 Workshop","Special workshop event for G1000 participants.","2025-10-24","10:00 AM - 2:00 PM","Weissman Foundry","Workshop","Babson Students;Greater Boston","","","","Gavin","generator@babson.edu","","","G1000 special workshop"
