Event,Event type,Speaker?,Finalized,Date,Day of Week,Time,Location,Location Booked?,Event Leader(s),Event Description,Target audience(s),Need to have Lab Students attend?,Need Faculty to attend?,Notes,Co-Run w/Other Club?,Name of Other Potential Funders?,Budget,Budget Submitted?,Food,Food Ordered?,Prizes + Price,Link to Prizes,Total,Budget Spent,Left-Over Budget
FALL,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,Total Budget,,"$20,080.00",$0.00,$0.00
Quad Generator Mixer ,Major Event,TBD,FALSE,8/29/2025,Friday,1-3 PM,Freshman Quad,TRUE,"ALL, Reece, Spencer, Cole, Alex","The opening generator mixer aims to  bring the larger student community together in a less formal manner. We wil be hosting a dj set with games, food, music and good vibes to encourage people to meet the generator community, and open a door for the freshman to get involved and get to know the generator team. We will be doing a raffle of the meta ray bans to garner optimal attendance + retention at the event. ",Freshman / New Students,TBD,Optional,,Babson Sound,,"$1,060.00",FALSE,$500 - TBD,FALSE,"$560 - Raffle for Meta Glasses, 2 JBL Charge 5","JBL Charge 5 Waterproof Portable Bluetooth Speaker, Black & Blue, 2 Pack - Walmart.com   | Meta Ray Bans",$0.00,$0.00,$0.00
Org Fair ,External Event,No,FALSE,9/5/2025,Friday,11AM-1PM,LGRAC,FALSE,"ALL, Diana","Babson's club and org fair for all students, with a focus on showing off the generator's capability and reach across campus. Large focus on new incoming students and Babson freshman.",Freshman / New Students,TBD,No,,,,,FALSE,,FALSE,,,$0.00,$0.00,$0.00
Using Generative AI Video for Marketing (w BMS + AIC),Regular Event,No,FALSE,9/10/2025,Wednesday,6-8PM,Park Manor West,FALSE,"Alex, LIZ","Video has become the backbone of modern marketing—and with generative AI, creating high-quality, tailored content is faster and smarter than ever. Join The Generator, Babson Marketing Society, and AI Club for a hands-on event exploring how AI is transforming marketing workflows.

We’ll dive into the newest platforms and techniques shaping the field:

Opus: streamline editing and repurposing video content in seconds.

Arcads: generate fresh video campaigns with minimal lift.

n8n Automations: connect AI-generated scripts, voiceovers, and editing tools into seamless pipelines.

From social media campaigns to brand storytelling, discover how marketers are using generative AI to scale ideas, save time, and unlock creativity. Whether you’re building a personal brand, leading a student org, or eyeing a career in marketing, this event will give you an insider’s look at the future of video-first strategy.",Babson Students,TBD,No,,BMS  + AIC,,$270.00,FALSE,BMS / AI club SGA Budget,FALSE,$270 - Arcads (2 months) and N8N subscriptions (2 months) / Workflow Templates,https://www.arcads.ai/ | https://n8n.io/ai-agents/ ,$0.00,$0.00,$0.00
Foundations of AI (with AIClub)/Are you smarter than an AI?,Regular Event,TBD,FALSE,9/15/2025,Monday,6-8PM,Weissman Foundry,FALSE,"Spencer, Gavin, Sabrina, Reece","Large scale event where it is a edutainment style, both informative and gamne show like energy. Go over a quick intro of foundations of ai and then have a kahoot style quiz where people competes for prizes. CAB Bingo energy","Babson Students, Freshman / New Students",TBD,Optional,"Knight Auditorium/Bingo Style, Big prizes, huge attention draw early on ",AIC,,$900.00,FALSE,$500 - TBD,FALSE,$400 - 2 Gen 2 Gencon rings ,https://ringconn.com/products/ringconn-gen-2-air?variant=48494897791284,$0.00,$0.00,$0.00
Elevating your business w/AI (Etower),Major Event,Yes,FALSE,10/1/2025,Wednesday,6-8PM,Weissman Foundry,FALSE,"ALL, Cole, Spencer","Join The Generator and E-Tower for an interactive workshop designed to transform your business through AI integration. Learn practical strategies to leverage AI tools across your business operations, from enhancing customer service with chatbots to optimizing marketing and streamlining product design. Whether you're an established business owner or aspiring entrepreneur, this hands-on session will equip you with actionable insights to drive efficiency, innovation, and growth in today's AI-powered business landscape.",Babson Students,TBD,No,,E-Tower,,$975.00,FALSE,$500 - TBD,FALSE,"$475 - 2,  2 mont hmanus subscription, 3 month n8n subscription",,$0.00,$0.00,$0.00
G1000 Dry Through Run,Internal Event,No,FALSE,10/3/2025,Friday,10AM-2PM,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
AI to Cheat (2truths + a lie),Regular Event,No,FALSE,10/6/2025,Monday,6-8PM,Weissman Foundry,FALSE,"Cole, Spencer","
Not all AI tools are created equal. Some drive productivity, some fuel creativity—and some cross the line. In this interactive event, The Generator spotlights Cluely AI, a tool built to “do the work for you,” and challenges Babson students to think critically about what happens when innovation drifts into academic dishonesty.

Through live demos and head-to-head activities, you’ll see how Cluely integrates into everyday workflows and test for yourself whether speed and automation can replace effort and learning. Then, we’ll flip the script: how might tools like this be reimagined for ethical use?

Join us for a hands-on conversation about the gray areas of AI adoption—where efficiency ends, and responsibility begins.",Babson Students,TBD,Optional,,,,,FALSE,,FALSE,,,$0.00,$0.00,$0.00
AI Matchmaking Event (collab w/pow on 10/17),Regular Event,No,FALSE,10/17/2025,Friday,TBD(Talking w/POW on Aug 26th),Winn Auditorium,FALSE,"Diana, Reece, TBD","Looking to spark new connections at Babson? The Generator, in collaboration with POW, invites you to an evening of AI-powered matchmaking with a twist. Forget swiping—this event pairs you with peers based on real compatibility scores. Whether you’re here to meet a potential date, expand your circle of friends, or just have a laugh at the results, this experience blends technology with a touch of campus intrigue.

Each participant will be matched into small groups, with one pairing flagged as your highest “compatibility match.” Expect icebreakers, conversation prompts, and a lighthearted atmosphere designed to take the pressure off while letting AI do the behind-the-scenes magic.",Babson Students,TBD,No,,,,,FALSE,POW sponsored event,FALSE,,,$0.00,$0.00,$0.00
MVP Coding Tools Workshop (W/code),Major Event,TBD,FALSE,10/20/2025,Monday,6-8PM,Park Manor West,FALSE,"Spencer, Taihei","The AI Coding Tools Workshop, in collaboration with CODE, will be a student-led event focused on exploring AI-driven software development tools, specifically highlighting platforms such as Cursor, lovable, Replit Agent, Windsurf, Claude Code, and many more. Student facilitators will lead interactive sessions, showcasing how to build ready MVPs that are AI-powered code generation and how to  debug. The event will emphasize practical applications, collaborative learning, and engagement through live demos and Q&A.","Babson Students, Greater Boston",TBD,No,,Code,,"$1,075.00",FALSE,$500 - TBD,FALSE,"$575 - 5 , 3-month Lovable Pro, 1 2 month claude max",https://lovable.dev/pricing,$0.00,$0.00,$0.00
